obligor_id,facility_id,obligor_name,obligor_type,tin,industry,sub_industry,country,credit_score,exposure_amount,outstanding_amount,status,risk_grade,created_date,review_date
OBL-00001,FAC-0092,Allied Innovations Ltd.,Government Entity,86-2373555,Telecommunications,Broadband,United States,838,511436263.99,266853522.98,Active,Distressed,2020-10-06,2022-10-06
OBL-00002,FAC-0028,Atlantic Enterprises Group,Non-Profit Organization,76-8412854,Manufacturing,Automotive,United States,419,1300125358.14,1115174403.06,Defaulted,Investment Grade,2019-12-03,2021-12-01
OBL-00003,FAC-0045,Stellar Logistics N.V.,Corporate,81-8757420,Government,State Authority,Chile,615,300888801.84,15903181.41,Defaulted,Investment Grade,2020-06-19,2022-05-25
OBL-00004,FAC-0045,Meridian Industries Corp.,Financial Institution,14-5816582,Retail & Consumer,Luxury Goods,Canada,718,385721359.88,16595782.08,Active,Investment Grade,2021-08-28,2022-04-30
OBL-00005,FAC-0072,Meridian Solutions Group,Corporate,32-7594429,Retail & Consumer,Luxury Goods,United States,841,1332206234.53,1147601012.4,Active,Investment Grade,2021-04-29,2022-01-16
OBL-00006,FAC-0050,Continental Resources GmbH,Corporate,29-5624635,Banking & Finance,Retail Banking,Hong Kong,493,1309918902.89,677520279.12,Defaulted,Investment Grade,2022-11-12,2024-06-02
OBL-00007,FAC-0038,Vantage Properties Inc.,Corporate,15-7748892,Banking & Finance,Insurance,Canada,749,296601236.86,28429785.4,Active,Distressed,2017-10-30,2019-07-29
OBL-00008,FAC-0093,Horizon Analytics Group,Corporate,48-3403511,Healthcare,Pharmaceuticals,Switzerland,833,216324498.08,48122129.03,Active,High Yield,2022-05-13,2023-10-01
OBL-00009,FAC-0088,Stellar Biotech GmbH,Corporate,54-7394713,Real Estate,Development,Chile,837,1713061936.58,1431654162.61,Active,High Yield,2023-03-16,2024-03-09
OBL-00010,FAC-0077,Premier Infrastructure LLC,Non-Profit Organization,69-1966769,Retail & Consumer,Grocery,Hong Kong,722,100079075.5,51143595.22,Active,Distressed,2019-09-01,2020-10-15
OBL-00011,FAC-0004,Summit Holdings AG,Government Entity,34-1864641,Transportation,Shipping,United States,574,302344690.01,94860599.31,Active,Distressed,2018-01-15,2019-10-17
OBL-00012,FAC-0092,Vector Technologies Group,Corporate,11-4553544,Government,Federal Agency,Canada,494,961843953.27,536905627.23,Defaulted,Investment Grade,2023-01-06,2024-02-12
OBL-00013,FAC-0003,Nexus Biotech Group,Corporate,43-7033835,Telecommunications,Broadband,Netherlands,825,1756082615.28,921022005.5,Active,High Yield,2019-04-05,2020-10-25
OBL-00014,FAC-0036,Atlantic Capital PLC,Special Purpose Vehicle,84-8005797,Technology,Cloud Services,Australia,602,613617343.21,241294994.97,Active,Investment Grade,2022-04-05,2023-05-16
OBL-00015,FAC-0078,International Innovations GmbH,Government Entity,92-9230828,Manufacturing,Aerospace,United States,771,260744485.05,162151146.18,Active,Sub-Investment Grade,2022-01-24,2023-07-03
OBL-00016,FAC-0004,National Holdings Inc.,Non-Profit Organization,10-7918793,Energy,Renewable Energy,United States,440,1015448510.1,522986458.93,Restructuring,Investment Grade,2017-10-24,2019-10-10
OBL-00017,FAC-0080,Vector Capital Inc.,Special Purpose Vehicle,80-7901115,Technology,Hardware,Canada,312,1013348580.69,359273272.63,Active,Distressed,2023-01-29,2024-12-03
OBL-00018,FAC-0072,Pacific Pharmaceuticals LLC,Corporate,34-9832465,Real Estate,Development,Chile,558,1248185574.31,799252297.07,Restructuring,Sub-Investment Grade,2019-02-15,2019-12-01
OBL-00019,FAC-0066,Premier Properties Corp.,Government Entity,93-1531577,Real Estate,Property Management,Brazil,395,202617482.35,88350919.23,Active,High Yield,2019-08-06,2020-09-20
OBL-00020,FAC-0054,Horizon Partners AG,Corporate,39-4546989,Retail & Consumer,Food & Beverage,United States,786,346701595.65,27234040.08,Active,Investment Grade,2022-06-04,2023-11-05
OBL-00021,FAC-0084,Pinnacle Holdings PLC,Corporate,82-5034453,Technology,Semiconductors,Canada,698,493551292.4,147453610.44,Defaulted,Distressed,2022-10-30,2023-09-22
OBL-00022,FAC-0018,National Partners S.A.,Corporate,19-6714198,Manufacturing,Industrial Equipment,South Africa,706,31132481.62,21417758.58,Restructuring,Sub-Investment Grade,2022-05-13,2023-10-29
OBL-00023,FAC-0024,United Properties N.V.,Government Entity,58-2437708,Banking & Finance,Asset Management,United States,602,412677523.77,216814926.94,Restructuring,Investment Grade,2020-06-17,2022-03-01
OBL-00024,FAC-0010,Apex Financial Corp.,Corporate,10-6171869,Technology,Software,Australia,755,359327550.13,267589705.83,Active,Sub-Investment Grade,2018-09-24,2020-04-24
OBL-00025,FAC-0032,Pacific Capital Corp.,Corporate,80-2561359,Technology,Hardware,Canada,632,700433724.81,370624545.74,Restructuring,High Yield,2022-11-25,2024-07-14
OBL-00026,FAC-0078,Horizon Pharmaceuticals LLC,Government Entity,58-3843767,Banking & Finance,Asset Management,United States,442,399757687.81,275273804.16,Active,Sub-Investment Grade,2021-05-12,2022-07-14
OBL-00027,FAC-0053,American Financial PLC,Corporate,90-9318184,Real Estate,Property Management,United Kingdom,500,32538993.03,8530545.35,Active,Investment Grade,2023-03-01,2025-01-04
OBL-00028,FAC-0044,Nexus Ventures S.A.,Non-Profit Organization,93-3283789,Energy,Utilities,Mexico,607,373049157.42,219794064.47,Active,Distressed,2023-05-02,2024-09-30
OBL-00029,FAC-0096,Horizon Resources Group,Financial Institution,45-7592357,Healthcare,Biotech,Australia,673,1326801551.23,1221040820.58,Active,Distressed,2019-04-24,2021-03-06
OBL-00030,FAC-0096,Stellar Properties GmbH,Corporate,91-6080688,Healthcare,Medical Devices,Mexico,547,1297859849.8,258489524.4,Active,Investment Grade,2019-04-24,2019-12-30
OBL-00031,FAC-0012,Titan Infrastructure S.A.,Special Purpose Vehicle,14-7031903,Retail & Consumer,Food & Beverage,Mexico,849,171565793.93,78109267.66,Watchlist,Investment Grade,2020-11-26,2022-11-23
OBL-00032,FAC-0062,Stellar Partners Inc.,Corporate,43-4724560,Technology,Hardware,Australia,822,1054699854.29,44383730.4,Defaulted,Distressed,2021-12-31,2023-06-03
OBL-00033,FAC-0074,Summit Capital GmbH,Corporate,47-7978909,Transportation,Shipping,United States,387,587364073.04,430963775.47,Active,Investment Grade,2023-01-26,2023-12-26
OBL-00034,FAC-0016,Pacific Logistics GmbH,Corporate,18-6037595,Manufacturing,Consumer Goods,Hong Kong,345,154511644.2,76492393.71,Restructuring,Investment Grade,2022-03-10,2024-01-06
OBL-00035,FAC-0095,Meridian Enterprises Group,Special Purpose Vehicle,64-8751982,Banking & Finance,Asset Management,Canada,537,842426242.02,592617385.16,Restructuring,High Yield,2022-12-23,2023-12-16
OBL-00036,FAC-0032,Horizon Healthcare S.A.,Corporate,37-4452490,Energy,Renewable Energy,United States,585,84111617.96,49070851.7,Restructuring,Investment Grade,2022-01-07,2023-10-09
OBL-00037,FAC-0089,Titan Manufacturing Group,Special Purpose Vehicle,59-7585795,Government,Federal Agency,France,416,35331187.0,15357509.55,Active,Sub-Investment Grade,2022-01-24,2023-12-06
OBL-00038,FAC-0031,Continental Dynamics Corp.,Corporate,57-3371602,Telecommunications,Broadband,South Korea,823,1178214958.4,752295644.37,Active,High Yield,2019-09-07,2020-07-03
OBL-00039,FAC-0070,Vector Dynamics LLC,Corporate,50-8566540,Government,Federal Agency,United States,354,100782433.33,60845031.78,Restructuring,Sub-Investment Grade,2022-03-17,2023-03-02
OBL-00040,FAC-0006,Stellar Properties GmbH,Financial Institution,66-9199017,Banking & Finance,Insurance,Germany,471,758836419.17,694819184.16,Active,Distressed,2021-06-21,2023-05-08
OBL-00041,FAC-0058,Horizon Services GmbH,Special Purpose Vehicle,75-2899365,Banking & Finance,Investment Banking,Japan,416,280237750.3,143125318.22,Active,Distressed,2017-09-18,2019-06-28
OBL-00042,FAC-0033,National Logistics PLC,Corporate,21-8366370,Manufacturing,Automotive,United States,420,1425072030.71,138653262.4,Restructuring,Investment Grade,2021-03-22,2022-07-19
OBL-00043,FAC-0084,Horizon Financial AG,Corporate,86-3824903,Healthcare,Hospitals,United States,631,331889072.38,247458763.97,Defaulted,Sub-Investment Grade,2022-10-29,2023-06-26
OBL-00044,FAC-0085,Atlantic Infrastructure LLC,Corporate,28-6403886,Real Estate,Development,Canada,553,1817978812.86,1356951195.28,Restructuring,High Yield,2016-05-15,2017-08-21
OBL-00045,FAC-0044,Pinnacle Pharmaceuticals PLC,Government Entity,57-8628527,Telecommunications,Broadband,India,799,458538227.71,196892709.23,Active,Distressed,2023-02-04,2023-11-06
OBL-00046,FAC-0040,Stellar Technologies GmbH,Corporate,51-5757902,Banking & Finance,Retail Banking,United States,645,443888348.99,335532553.13,Watchlist,Distressed,2021-12-17,2023-01-24
OBL-00047,FAC-0057,Global Partners LLC,Financial Institution,68-1011340,Energy,Mining,India,738,1071973721.61,46787128.55,Active,Investment Grade,2022-02-27,2023-12-09
